                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0892,                0.88846,                 1.2226,                0.85868,                0.78034,                0.86332,                0.59324,                 1.0766,                0.90782,                  1.247,              0.0011833,              0.0011833,              0.0011833
                     36,                 1.0704,                0.91112,                 1.2277,                0.81572,                0.75018,                0.86054,                0.59806,                 1.0365,                0.97495,                 1.1919,              0.0011585,              0.0011585,              0.0011585
                     37,                 1.0866,                0.88109,                 1.2296,                0.85234,                 0.7352,                0.84723,                0.57235,                 1.1335,                0.97219,                 1.2803,              0.0011337,              0.0011337,              0.0011337
                     38,                 1.0858,                0.91045,                 1.2285,                0.84475,                0.75368,                 0.8599,                0.59201,                  1.079,                0.91161,                 1.2373,               0.001109,               0.001109,               0.001109
                     39,                 1.0864,                0.86375,                 1.2142,                0.77994,                0.76106,                0.83408,                 0.5661,                 1.0726,                  1.018,                  1.243,              0.0010842,              0.0010842,              0.0010842
                     40,                 1.0562,                0.86551,                 1.2023,                0.77124,                0.77263,                0.82015,                 0.5528,                 1.1215,                 1.0693,                 1.2903,              0.0010595,              0.0010595,              0.0010595
                     41,                  1.045,                0.87917,                 1.1988,                0.88059,                0.79579,                0.88522,                 0.6008,                 1.1196,                0.86138,                  1.292,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.0605,                0.85614,                 1.2137,                0.74243,                0.78583,                0.77624,                 0.5465,                 1.0508,                 1.0584,                 1.2213,                0.00101,                0.00101,                0.00101
                     43,                 1.0612,                0.85689,                 1.2088,                 0.8608,                0.79158,                0.87033,                 0.5973,                 1.0801,                0.89678,                 1.2536,             0.00098525,             0.00098525,             0.00098525
                     44,                 1.0174,                0.81222,                 1.1795,                0.84533,                0.80737,                0.88729,                0.61644,                 1.0512,                0.83678,                 1.1981,              0.0009605,              0.0009605,              0.0009605
